names	logFC	AveExpr	t	P.Value	adj.P.Val	B
SCGB2A2	-0.0352114057971105	3.04034549450549	-1.23373947579146	0.22046717338152	0.310725546376639	-6.71858746525053
COL20A1	0.0319103478260763	3.81034950549451	1.23291494336839	0.220773221564719	0.311138245023799	-6.71959546073007
ZFAND1	-0.112132719806789	8.10235263736264	-1.23271588573141	0.22084715373294	0.311223790041867	-6.71983871213633
ACD	0.0997018792270241	7.78796230769231	1.23221846814821	0.221031978902076	0.311465588866864	-6.72044639779142
SRL	-0.0516877777777971	5.27066989010989	-1.2321291184526	0.22106519045574	0.311484253094144	-6.72055552949368
IVD	-0.105810765700507	6.93414846153846	-1.23211157791853	0.221071710752575	0.311484253094144	-6.72057695260009
RFC1	0.0979815893719556	7.64439604395604	1.23200035066404	0.221113060230559	0.311523851480936	-6.72071279298404
HNRNPH2 /// RPL36A-HNRNPH2	-0.107463425120809	9.69522538461539	-1.23185852056167	0.221165794696408	0.311579484352173	-6.7208859910188
SUSD5	-0.165921202898565	3.73514307692308	-1.23138214448157	0.221342985230609	0.311810434392903	-6.72146758390048
RP11-173B14.4	-0.0508918937198244	4.38215153846154	-1.23134349072788	0.221357367227939	0.311812018757928	-6.72151476553415
FKRP	0.0885807173912836	5.41146906593407	1.23101060039186	0.221481254732075	0.311967847125308	-6.72192103960788
LUM	-0.194585787439641	10.0847141758242	-1.23074744625345	0.221579225151238	0.312087153455723	-6.72224212934978
TTC40	-0.057208647343006	3.57162912087912	-1.23044515433271	0.221691805238324	0.312227021509305	-6.72261089144063
DAND5	0.0486912415458813	3.84016604395604	1.23030416414563	0.22174432729374	0.312282293153031	-6.72278285362339
GIPR	-0.0488686086956704	4.39846318681319	-1.23002847002576	0.221847055813846	0.312408259654032	-6.72311905572669
CIDEB	-0.155727714975868	6.82606538461538	-1.22992239515328	0.221886590423513	0.312445225813388	-6.72324839197266
SHBG	0.0610270676328328	4.91731373626374	1.22956068064962	0.222021441711575	0.312616397812276	-6.72368934645616
LOC338620	-0.092446652173924	3.70157472527473	-1.22949081333302	0.222047495917417	0.312620553618603	-6.7237745049908
PRO1596	0.037517768115932	3.48886769230769	1.22948148003897	0.222050976562601	0.312620553618603	-6.72378588062281
RRAS2	0.149902743961325	8.02588879120879	1.22942840871469	0.222070769091986	0.312629705455408	-6.72385056357727
BBS1	-0.0561401835748923	6.03706989010989	-1.22931758897632	0.222112102575283	0.31266917958886	-6.72398562118191
QPRT	0.255291739130415	6.26543857142857	1.22921154774327	0.222151659017679	0.312706147590868	-6.7241148441276
FMOD	0.208049806763247	8.75670692307692	1.22877231370858	0.222315560611437	0.312918131991681	-6.72464998443811
ZNF589	-0.100125891304364	4.58472291208791	-1.22867676068848	0.222351228181919	0.312949607255025	-6.72476637685465
GATA1	-0.0464632874396322	5.04809428571429	-1.22861824743978	0.22237307178121	0.312961623282315	-6.72483764708108
HIST1H4G	-0.0491708550724739	3.82876373626374	-1.22819582689226	0.222530812066486	0.313164883611784	-6.7253520657596
STK38L	0.130463929951667	7.43629302197802	1.22791813963511	0.222634550392821	0.313292127871195	-6.72569013674992
BC035400	-0.0413260241546021	3.41761703296703	-1.22727305659669	0.22287567614465	0.313612677410839	-6.72647520913381
DDC-AS1	-0.047120019323684	3.52230197802198	-1.2271673690911	0.22291519921043	0.313649526527238	-6.7266037938143
MAL2	0.193678623188378	10.2623368131868	1.22701499324028	0.222972190897488	0.313710948729372	-6.72678916300246
CCDC103 /// FAM187A	-0.0657833236715168	4.60750978021978	-1.22646595353482	0.223177630884744	0.313981210575976	-6.72745689941062
ZFHX4-AS1	0.132612427536221	3.37125818681319	1.22638263763562	0.22320881810167	0.314006304309545	-6.72755820207853
ZCCHC11	0.0583307946859684	5.10717934065934	1.22629300414089	0.2232423736911	0.314034726627672	-6.72766717879037
LOC101927363	-0.0336679565217488	3.28756703296703	-1.22591671851773	0.223383281660471	0.314214148953667	-6.72812458406676
LOC100506107	0.0390920289854959	3.40287747252747	1.22562434364001	0.223492812148346	0.314349416441162	-6.72847989535789
CAPN13	-0.209470864734318	4.36086340659341	-1.22555061622273	0.223520438332371	0.314369473753356	-6.72856948034236
CDH26	0.114754881642498	3.99893840659341	1.22539353446279	0.223579306257557	0.314433465868079	-6.72876033044268
